target_img,prob_img,cue_text,match
stimuli/banana.png,stimuli/zebra.png,->...->...->?,match
stimuli/banana.png,stimuli/banana.png,->...->...->?,no_match
stimuli/banana.png,stimuli/scissor.png,->...->...->?,no_match
stimuli/face.png,stimuli/banana.png,->...->...->?,match
stimuli/zebra.png,stimuli/face.png,->...->...->?,no_match
stimuli/face.png,stimuli/zebra.png,->...->...->?,no_match
stimuli/face.png,stimuli/banana.png,->...->...->?,match
stimuli/scissor.png,stimuli/face.png,->...->...->?,match
stimuli/zebra.png,stimuli/zebra.png,->...->...->?,no_match
stimuli/scissor.png,stimuli/scissor.png,->...->...->?,no_match
stimuli/scissor.png,stimuli/face.png,->...->...->?,match
stimuli/zebra.png,stimuli/scissor.png,->...->...->?,match
