thisN,thisTrialN,thisRepN,pair_name,stim1_img,stim2_img,key_resp.keys,key_resp.rt,key_resp.duration,blocks_loop.thisRepN,blocks_loop.thisTrialN,blocks_loop.thisN,blocks_loop.thisIndex,learn_images.thisRepN,learn_images.thisTrialN,learn_images.thisN,learn_images.thisIndex,thisRow.t,notes,%_answer,instructions.started,instructions_main.started,instr_end.started,instructions.stopped,instr_end.keys,instr_end.rt,instr_end.duration,start_eeg.started,eeg_start_text.started,exit_eeg_text.started,start_eeg.stopped,exit_eeg_text.keys,exit_eeg_text.rt,exit_eeg_text.duration,instructions_learning.started,text.started,key_resp.started,instructions_learning.stopped,blocks_loop.key_resp.keys,blocks_loop.key_resp.rt,blocks_loop.key_resp.duration,fix_learning.started,fix_learn_cross.started,fix_learning.stopped,image_learn_1.started,first_of_pair.started,image_learn_1.stopped,break_img_learn.started,break_random.started,break_random.stopped,break_img_learn.stopped,image_learn_2.started,second_of_pair.started,image_learn_2.stopped,routine_5s_break.started,five_s_break.started,five_s_break.stopped,routine_5s_break.stopped,pair_stim_1,pair_stim_2,random_break_dur,participant,session,date,expName,psychopyVersion,frameRate,sequence_good_key,sequence_bad_key,allowed_keys_list,expStart,
,,,,,,,,,,,,,,,,,,,0.0,0.01967659999991156,0.03242899999986548,0.03242899999986548,4.769336899999871,space,4.721505100000286,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-06-10_11h43.27.533,learn_probe,2024.2.4,60.80228616570742,2,1,"['2', '1']",2025-06-10 11h43.47.281141 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.769404900000154,4.782740499999818,4.782740499999818,6.3183710000002975,space,1.5226635999997598,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-06-10_11h43.27.533,learn_probe,2024.2.4,60.80228616570742,2,1,"['2', '1']",2025-06-10 11h43.47.281141 -0400,
0,0,0,B_C,stimuli/zebra.png,stimuli/banana.png,space,1.0611243000003014,None,0,0,0,0,0,0,0,1,7.415733300000284,,,,,,,,,,,,,,,,,6.320677400000022,6.332796700000472,6.332796700000472,7.402090300000054,space,1.0611243000003014,None,7.405195999999705,7.415733300000284,7.705141000000367,7.724280000000363,7.733839900000021,9.202919999999722,9.203131600000233,9.217756500000178,11.298965699999826,11.267084300000533,11.279561600000306,11.298965699999826,12.769989600000372,12.770213400000102,12.781948200000443,17.78201110000009,17.76722080000036,stimuli/zebra.png,stimuli/banana.png,2.0608225970262275,sub-001,001,2025-06-10_11h43.27.533,learn_probe,2024.2.4,60.80228616570742,2,1,"['2', '1']",2025-06-10 11h43.47.281141 -0400,
1,1,0,C_D,stimuli/banana.png,stimuli/face.png,space,1.0611243000003014,None,0,0,0,0,0,1,1,2,17.78201110000009,,,,,,,,,,,,,,,,,,,,,,,,17.767307500000243,17.78201110000009,18.06885289999991,18.074398499999916,18.086206500000117,19.584823600000163,19.584923500000514,19.598262800000157,21.45193500000005,21.435837300000458,21.439910500000224,21.45193500000005,22.951857199999722,22.95203120000042,22.966012599999885,,27.952036700000463,stimuli/banana.png,stimuli/face.png,1.8494462247086192,sub-001,001,2025-06-10_11h43.27.533,learn_probe,2024.2.4,60.80228616570742,2,1,"['2', '1']",2025-06-10 11h43.47.281141 -0400,
2,2,0,A_B,stimuli/scissor.png,stimuli/zebra.png,space,1.0611243000003014,None,0,0,0,0,0,2,2,0,27.965858700000354,,,,,,,,,,,,,,,,,,,,,,,,27.952129899999818,27.965858700000354,28.252275599999848,28.25657659999979,28.267809599999964,29.736435800000436,29.736559599999964,29.748621400000047,31.801123500000358,31.784372099999928,31.788402600000154,31.801123500000358,33.300645299999815,33.30087739999999,33.314924500000416,,38.28526719999991,stimuli/scissor.png,stimuli/zebra.png,2.0388208668857373,sub-001,001,2025-06-10_11h43.27.533,learn_probe,2024.2.4,60.80228616570742,2,1,"['2', '1']",2025-06-10 11h43.47.281141 -0400,
3,0,1,A_B,stimuli/scissor.png,stimuli/zebra.png,space,1.0611243000003014,None,0,0,0,0,1,0,3,0,38.2988890000006,,,,,,,,,,,,,,,,,,,,,,,,38.28544200000033,38.2988890000006,38.58622149999974,38.59183480000047,38.60043940000014,40.08549440000024,40.085652100000516,40.09794190000048,41.13416440000037,41.117091600000094,41.1213185000006,41.13416440000037,42.61860940000042,42.61875390000023,42.63270130000001,,47.6331366000004,stimuli/scissor.png,stimuli/zebra.png,1.0309399427890875,sub-001,001,2025-06-10_11h43.27.533,learn_probe,2024.2.4,60.80228616570742,2,1,"['2', '1']",2025-06-10 11h43.47.281141 -0400,
4,1,1,C_D,stimuli/banana.png,stimuli/face.png,space,1.0611243000003014,None,0,0,0,0,1,1,4,2,47.64861639999981,,,,,,,,,,,,,,,,,,,,,,,,47.63323550000041,47.64861639999981,47.93332550000014,47.93786850000015,47.950337299999774,49.43406090000008,49.43419410000024,49.44770560000052,51.534074500000315,51.517348700000184,51.52173800000037,51.534074500000315,53.0382896000001,53.03841000000011,53.048110100000486,,58.01765400000022,stimuli/banana.png,stimuli/face.png,2.0724453889511816,sub-001,001,2025-06-10_11h43.27.533,learn_probe,2024.2.4,60.80228616570742,2,1,"['2', '1']",2025-06-10 11h43.47.281141 -0400,
5,2,1,B_C,stimuli/zebra.png,stimuli/banana.png,space,1.0611243000003014,None,0,0,0,0,1,2,5,1,58.036033399999724,,,,,,,,,,,,,,,,,,,,,,,,58.01774420000038,58.036033399999724,58.33389200000056,58.33793800000058,58.35107690000041,59.832746099999895,59.83302499999991,59.84788819999994,61.18516490000002,61.16636600000038,61.17089660000056,61.18516490000002,62.68302760000006,62.68314250000003,62.69813690000046,,67.68268379999972,stimuli/zebra.png,stimuli/banana.png,1.3340683803524034,sub-001,001,2025-06-10_11h43.27.533,learn_probe,2024.2.4,60.80228616570742,2,1,"['2', '1']",2025-06-10 11h43.47.281141 -0400,
6,0,2,B_C,stimuli/zebra.png,stimuli/banana.png,space,1.0611243000003014,None,0,0,0,0,2,0,6,1,67.69825949999995,,,,,,,,,,,,,,,,,,,,,,,,67.6827744000002,67.69825949999995,67.9827322000001,67.98739130000013,67.99936510000043,69.4827277000004,69.48289399999976,69.4976329000001,71.0340326000005,71.01676090000001,71.02152910000041,71.0340326000005,72.53327730000001,72.53346380000039,72.54770520000056,,77.53391509999983,stimuli/zebra.png,stimuli/banana.png,1.530226712555562,sub-001,001,2025-06-10_11h43.27.533,learn_probe,2024.2.4,60.80228616570742,2,1,"['2', '1']",2025-06-10 11h43.47.281141 -0400,
7,1,2,C_D,stimuli/banana.png,stimuli/face.png,,,,,,,,2,1,7,2,77.5481147999999,,,,,,,,,,,,,,,,,,,,,,,,77.53402689999984,77.5481147999999,77.83234080000057,77.83676300000025,77.85010539999985,79.3178566000006,79.31804439999996,79.33141330000035,,,,,,,,,,,,,,,,,,,,,,,
