thisN,thisTrialN,thisRepN,pair_name,stim1_img,stim2_img,key_resp.keys,key_resp.rt,key_resp.duration,target_img,prob_img,cue_text,is_match,end_probe_instr.keys,end_probe_instr.rt,end_probe_instr.duration,probe_resp_test.keys,probe_resp_test.rt,probe_resp_test.duration,blocks_loop.thisRepN,blocks_loop.thisTrialN,blocks_loop.thisN,blocks_loop.thisIndex,learn_images.thisRepN,learn_images.thisTrialN,learn_images.thisN,learn_images.thisIndex,probe_loop.thisRepN,probe_loop.thisTrialN,probe_loop.thisN,probe_loop.thisIndex,thisRow.t,notes,%_answer,instructions.started,instructions_main.started,instr_end.started,instructions.stopped,instr_end.keys,instr_end.rt,instr_end.duration,start_eeg.started,eeg_start_text.started,exit_eeg_text.started,start_eeg.stopped,exit_eeg_text.keys,exit_eeg_text.rt,exit_eeg_text.duration,instructions_learning.started,text.started,key_resp.started,instructions_learning.stopped,blocks_loop.key_resp.keys,blocks_loop.key_resp.rt,blocks_loop.key_resp.duration,fix_learning.started,fix_learn_cross.started,fix_learning.stopped,image_learn_1.started,first_of_pair.started,image_learn_1.stopped,break_img_learn.started,break_random.started,break_random.stopped,break_img_learn.stopped,image_learn_2.started,second_of_pair.started,second_of_pair.stopped,image_learn_2.stopped,routine_5s_break.started,five_s_break.started,five_s_break.stopped,routine_5s_break.stopped,pair_stim_1,pair_stim_2,random_break_dur,fix_learn_cross.stopped,first_of_pair.stopped,probe_instr.started,probe_instr_text.started,end_probe_instr.started,probe_instr.stopped,blocks_loop.end_probe_instr.keys,blocks_loop.end_probe_instr.rt,blocks_loop.end_probe_instr.duration,probe_cue.started,probe_cue_1.started,probe_cue.stopped,probe_imagination.started,imagination_woot.started,imagination_woot.stopped,probe_imagination.stopped,probe_test.started,prob_test_img.started,probe_test.stopped,probe_resp.started,probe_resp_test.started,text_4.started,probe_resp.stopped,probe_loop.probe_resp_test.keys,probe_break.started,text_2.started,text_2.stopped,probe_break.stopped,target_image,probe_image,response_good_bad,response_given,response_rt,good_answer_counter,probe_cue_1.stopped,prob_test_img.stopped,probe_loop.probe_resp_test.rt,probe_loop.probe_resp_test.duration,participant,session,date,expName,psychopyVersion,frameRate,sequence_good_key,sequence_bad_key,allowed_keys_list,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.024972000000161643,0.03502920000028098,0.03502920000028098,3.277370499999961,space,3.2300678999999946,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-06-10_11h51.56.246,learn_probe,2024.2.4,60.05670554132044,2,1,"['2', '1']",2025-06-10 11h52.17.174643 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.277398600000197,3.2921469000002617,3.2921469000002617,3.7610365999998976,space,0.4685137999995277,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-06-10_11h51.56.246,learn_probe,2024.2.4,60.05670554132044,2,1,"['2', '1']",2025-06-10 11h52.17.174643 -0400,
0,0,0,A_B,stimuli/scissor.png,stimuli/zebra.png,space,0.4981127999999444,None,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,4.2985005999998975,,,,,,,,,,,,,,,,,3.7632005000004938,3.775456100000156,3.775456100000156,4.282030200000008,space,0.4981127999999444,None,4.284697400000368,4.2985005999998975,4.592385099999774,4.601952699999856,4.612828199999967,6.09210770000027,6.092245400000138,6.108707200000026,7.308691700000054,7.292527700000392,7.301786900000479,7.308691700000054,8.808659299999817,8.792369100000542,8.792569500000354,8.808659299999817,13.810446600000432,13.79218949999995,stimuli/scissor.png,stimuli/zebra.png,1.1866296376270717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-06-10_11h51.56.246,learn_probe,2024.2.4,60.05670554132044,2,1,"['2', '1']",2025-06-10 11h52.17.174643 -0400,
1,1,0,C_D,stimuli/banana.png,stimuli/face.png,space,0.4981127999999444,None,,,,,,,,,,,0,0,0,0,0,1,1,2,,,,,13.810446600000432,,,,,,,,,,,,,,,,,,,,,,,,13.792291100000512,13.810446600000432,14.108632299999954,14.11341100000027,14.12538719999975,15.608770800000457,15.608919500000411,15.625348499999745,17.42524020000019,17.408714500000315,17.41351660000055,17.42524020000019,,18.910516900000403,18.910647400000016,18.925383800000418,23.925586999999723,23.908818599999904,stimuli/banana.png,stimuli/face.png,1.7938007030810832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-06-10_11h51.56.246,learn_probe,2024.2.4,60.05670554132044,2,1,"['2', '1']",2025-06-10 11h52.17.174643 -0400,
2,2,0,B_C,stimuli/zebra.png,stimuli/banana.png,space,0.4981127999999444,None,,,,,,,,,,,0,0,0,0,0,2,2,1,,,,,23.925586999999723,,,,,,,,,,,,,,,,,,,,,,,,23.908905600000253,23.925586999999723,24.20864320000055,24.21275650000007,24.225128699999914,25.708887400000094,25.709014600000046,25.725255399999696,28.341959999999744,28.325346300000092,28.33006949999981,28.341959999999744,29.84191069999997,29.825514000000112,29.825682499999857,29.84191069999997,,34.82678889999988,stimuli/zebra.png,stimuli/banana.png,2.6117915097856397,24.225128699999914,25.725255399999696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-06-10_11h51.56.246,learn_probe,2024.2.4,60.05670554132044,2,1,"['2', '1']",2025-06-10 11h52.17.174643 -0400,
3,0,1,B_C,stimuli/zebra.png,stimuli/banana.png,space,0.4981127999999444,None,,,,,,,,,,,0,0,0,0,1,0,3,1,,,,,34.84167760000037,,,,,,,,,,,,,,,,,,,,,,,,34.82688320000034,34.84167760000037,35.125177599999915,35.12959030000002,35.14169300000049,36.631224900000234,36.63135890000012,36.64208159999998,38.77504760000011,38.76037350000024,38.76497170000039,38.77504760000011,40.275168699999995,40.258572700000514,40.25872530000015,40.275168699999995,45.27538790000017,45.258691799999724,stimuli/zebra.png,stimuli/banana.png,2.1206359050952948,35.14169300000049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-06-10_11h51.56.246,learn_probe,2024.2.4,60.05670554132044,2,1,"['2', '1']",2025-06-10 11h52.17.174643 -0400,
4,1,1,A_B,stimuli/scissor.png,stimuli/zebra.png,space,0.4981127999999444,None,,,,,,,,,,,0,0,0,0,1,1,4,0,,,,,45.27538790000017,,,,,,,,,,,,,,,,,,,,,,,,45.25878170000033,45.27538790000017,45.55879019999975,45.56234949999998,45.57534250000026,47.05881150000005,47.05901499999982,47.07508289999987,48.57584360000055,48.559630200000356,48.56386040000052,48.57584360000055,50.074994999999944,50.058478599999944,50.058666099999755,50.074994999999944,55.07493369999975,55.05835190000016,stimuli/scissor.png,stimuli/zebra.png,1.5010608747521446,45.57534250000026,47.07508289999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-06-10_11h51.56.246,learn_probe,2024.2.4,60.05670554132044,2,1,"['2', '1']",2025-06-10 11h52.17.174643 -0400,
5,2,1,C_D,stimuli/banana.png,stimuli/face.png,space,0.4981127999999444,None,,,,,,,,,,,0,0,0,0,1,2,5,2,,,,,55.07493369999975,,,,,,,,,,,,,,,,,,,,,,,,55.05844109999998,55.07493369999975,55.35830940000051,55.36310250000042,55.37478949999968,56.858482800000274,56.8585978000001,56.874764199999845,58.69162049999977,58.67535090000001,58.67954900000041,58.69162049999977,60.19155479999972,60.17530280000028,60.17556140000033,60.19155479999972,65.19134639999993,65.17531770000005,stimuli/banana.png,stimuli/face.png,1.808075753352727,55.37478949999968,56.874764199999845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-06-10_11h51.56.246,learn_probe,2024.2.4,60.05670554132044,2,1,"['2', '1']",2025-06-10 11h52.17.174643 -0400,
6,0,2,C_D,stimuli/banana.png,stimuli/face.png,space,0.4981127999999444,None,,,,,,,,,,,0,0,0,0,2,0,6,2,,,,,65.19134639999993,,,,,,,,,,,,,,,,,,,,,,,,65.17541510000046,65.19134639999993,65.47475130000021,65.47947300000033,65.4914761,66.97506390000035,66.97519290000037,66.99154220000037,69.29149770000004,69.2750175000001,69.27928539999994,69.29149770000004,70.79136879999987,70.77502150000055,70.77522980000049,70.79136879999987,75.79149229999985,75.77498379999997,stimuli/banana.png,stimuli/face.png,2.287874824743039,65.4914761,66.99154220000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-06-10_11h51.56.246,learn_probe,2024.2.4,60.05670554132044,2,1,"['2', '1']",2025-06-10 11h52.17.174643 -0400,
7,1,2,A_B,stimuli/scissor.png,stimuli/zebra.png,space,0.4981127999999444,None,,,,,,,,,,,0,0,0,0,2,1,7,0,,,,,75.79149229999985,,,,,,,,,,,,,,,,,,,,,,,,75.77507890000015,75.79149229999985,76.07511320000049,76.07859259999987,76.0914574999997,77.57489189999978,77.57516820000001,77.59134499999982,80.44548039999972,80.43036190000021,80.43620790000023,80.44548039999972,,81.94130380000024,81.94143170000007,81.95819990000018,,86.94114239999999,stimuli/scissor.png,stimuli/zebra.png,2.8413221283806482,76.0914574999997,77.59134499999982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-001,001,2025-06-10_11h51.56.246,learn_probe,2024.2.4,60.05670554132044,2,1,"['2', '1']",2025-06-10 11h52.17.174643 -0400,
