thisN,thisTrialN,thisRepN,pair_name,stim1_img,stim2_img,key_resp.keys,key_resp.rt,key_resp.duration,target_img,cue_text,prob_img,match,end_probe_instr.keys,end_probe_instr.rt,end_probe_instr.duration,probe_resp_test.keys,blocks_loop.thisRepN,blocks_loop.thisTrialN,blocks_loop.thisN,blocks_loop.thisIndex,learn_images.thisRepN,learn_images.thisTrialN,learn_images.thisN,learn_images.thisIndex,probe_loop.thisRepN,probe_loop.thisTrialN,probe_loop.thisN,probe_loop.thisIndex,thisRow.t,notes,instructions.started,instructions_main.started,instr_end.started,instructions.stopped,instr_end.keys,instr_end.rt,instr_end.duration,instructions_learning.started,text.started,key_resp.started,instructions_learning.stopped,blocks_loop.key_resp.keys,blocks_loop.key_resp.rt,blocks_loop.key_resp.duration,fix_learning.started,fix_learn_cross.started,fix_learn_cross.stopped,fix_learning.stopped,image_learn_1.started,first_of_pair.started,image_learn_1.stopped,break_img_learn.started,break_random.started,break_random.stopped,break_img_learn.stopped,image_learn_2.started,second_of_pair.started,second_of_pair.stopped,image_learn_2.stopped,routine_5s_break.started,five_s_break.started,five_s_break.stopped,routine_5s_break.stopped,first_of_pair.stopped,probe_instr.started,probe_instr_text.started,end_probe_instr.started,probe_instr.stopped,blocks_loop.end_probe_instr.keys,blocks_loop.end_probe_instr.rt,blocks_loop.end_probe_instr.duration,probe_cue.started,probe_cue_1.started,probe_cue.stopped,probe_imagination.started,imagination_woot.started,imagination_woot.stopped,probe_imagination.stopped,probe_test.started,prob_test_img.started,probe_test.stopped,probe_resp.started,probe_resp_test.started,probe_resp_test.stopped,probe_resp.stopped,probe_loop.probe_resp_test.keys,probe_break.started,text_2.started,text_2.stopped,probe_break.stopped,participant,session,date,expName,psychopyVersion,frameRate,sequence_good_key,sequence_bad_key,allowed_keys_list,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002815199999986362,0.011021199999959208,0.011021199999959208,0.5565217999997003,space,0.5378796999998485,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,001,2025-06-09_11h03.41.094,learn_probe,2024.2.4,144.3222195605109,1,2,"['1', '2']",2025-06-09 11h03.44.974831 -0400,
0,0,0,B_C,stimuli/banana.png,stimuli/face.png,space,0.5339687000000595,None,,,,,,,,,0,0,0,0,0,0,0,0,,,,,1.1015822999997908,,,,,,,,,0.5567152999997234,0.559836599999926,0.559836599999926,1.096046699999988,space,0.5339687000000595,None,1.0988867999999457,1.1015822999997908,1.6608086999999614,1.3881576999997378,1.6587260999999671,1.6608086999999614,2.9015629999998964,2.9015913999996883,2.907483399999819,5.268614299999626,5.256860599999982,5.260825799999566,5.268614299999626,6.762150699999893,6.7566891999999825,6.756709899999805,6.762150699999893,11.755744599999616,11.75029829999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,001,2025-06-09_11h03.41.094,learn_probe,2024.2.4,144.3222195605109,1,2,"['1', '2']",2025-06-09 11h03.44.974831 -0400,
1,1,0,A_B,stimuli/zebra.png,stimuli/banana.png,space,0.5339687000000595,None,,,,,,,,,0,0,0,0,0,1,1,1,,,,,11.755744599999616,,,,,,,,,,,,,,,,11.75038749999976,11.755744599999616,12.059138599999642,12.042178100000001,12.057928999999604,12.059138599999642,13.549011699999937,13.549036799999612,13.554570999999669,15.096076499999981,14.827067499999885,15.094174799999564,15.096076499999981,,16.327278899999783,16.327301299999817,16.33285459999979,21.326318399999764,21.320768199999748,13.554570999999669,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,001,2025-06-09_11h03.41.094,learn_probe,2024.2.4,144.3222195605109,1,2,"['1', '2']",2025-06-09 11h03.44.974831 -0400,
2,2,0,C_D,stimuli/face.png,stimuli/scissor.png,space,0.5339687000000595,None,,,,,,,,,0,0,0,0,0,2,2,2,,,,,21.326318399999764,,,,,,,,,,,,,,,,21.32085519999964,21.326318399999764,21.61807329999965,21.612499599999865,21.615835299999617,21.61807329999965,23.106464499999674,23.106496799999604,23.118337499999598,25.32676649999985,25.313993499999924,25.32414979999976,25.32676649999985,,26.81431819999989,26.814336099999764,26.820059999999557,31.81398319999971,31.808192999999847,23.11158669999986,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,001,2025-06-09_11h03.41.094,learn_probe,2024.2.4,144.3222195605109,1,2,"['1', '2']",2025-06-09 11h03.44.974831 -0400,
3,3,0,A_B,stimuli/zebra.png,stimuli/banana.png,space,0.5339687000000595,None,,,,,,,,,0,0,0,0,0,3,3,3,,,,,31.81398319999971,,,,,,,,,,,,,,,,31.808273499999814,31.81398319999971,32.11286939999991,32.09968869999966,32.11192609999989,32.11286939999991,33.60006379999959,33.60008929999958,33.60578449999957,36.515343799999755,36.246137799999815,36.51299179999978,36.515343799999755,,37.7462031,37.74622149999959,37.75193939999963,42.745652099999916,42.73997399999962,33.60578449999957,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,001,2025-06-09_11h03.41.094,learn_probe,2024.2.4,144.3222195605109,1,2,"['1', '2']",2025-06-09 11h03.44.974831 -0400,
4,4,0,A_B,stimuli/zebra.png,stimuli/banana.png,space,0.5339687000000595,None,,,,,,,,,0,0,0,0,0,4,4,4,,,,,42.745652099999916,,,,,,,,,,,,,,,,42.740050399999745,42.745652099999916,43.04599899999994,43.03190549999999,43.044922199999746,43.04599899999994,44.532031299999744,44.53205679999974,44.537684499999614,47.32531999999992,47.2548268999999,47.32391729999972,47.32531999999992,,48.75502819999974,48.755050799999935,48.760470799999894,53.754090299999916,53.74894979999999,44.537684499999614,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,001,2025-06-09_11h03.41.094,learn_probe,2024.2.4,144.3222195605109,1,2,"['1', '2']",2025-06-09 11h03.44.974831 -0400,
5,5,0,C_D,stimuli/face.png,stimuli/scissor.png,space,0.5339687000000595,None,,,,,,,,,0,0,0,0,0,5,5,5,,,,,53.754090299999916,,,,,,,,,,,,,,,,53.74903189999986,53.754090299999916,54.04571539999961,54.03992329999983,54.043225399999756,54.04571539999961,55.53359679999994,55.53362709999965,55.54608569999982,57.53915519999964,57.52701689999958,57.537493399999676,57.53915519999964,59.03270879999991,59.02720539999973,59.027224899999965,59.03270879999991,64.02625899999975,64.02064999999993,55.53900459999977,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,001,2025-06-09_11h03.41.094,learn_probe,2024.2.4,144.3222195605109,1,2,"['1', '2']",2025-06-09 11h03.44.974831 -0400,
6,6,0,B_C,stimuli/banana.png,stimuli/face.png,space,0.5339687000000595,None,,,,,,,,,0,0,0,0,0,6,6,6,,,,,64.02625899999975,,,,,,,,,,,,,,,,64.02072509999971,64.02625899999975,64.58305729999984,64.3122156999998,64.58095839999987,64.58305729999984,65.83279319999974,65.83281639999996,65.83889149999959,68.44328559999985,68.43790499999977,68.44138469999962,68.44328559999985,69.93673229999968,69.93117989999973,69.93119869999964,69.93673229999968,74.93014369999992,74.9244306999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,001,2025-06-09_11h03.41.094,learn_probe,2024.2.4,144.3222195605109,1,2,"['1', '2']",2025-06-09 11h03.44.974831 -0400,
7,7,0,C_D,stimuli/face.png,stimuli/scissor.png,space,0.5339687000000595,None,,,,,,,,,0,0,0,0,0,7,7,7,,,,,74.93014369999992,,,,,,,,,,,,,,,,74.92450919999965,74.93014369999992,75.22868259999996,75.2172142999998,75.2238269999998,75.23596859999998,76.72337619999962,76.72340079999958,76.72922869999957,78.14573859999973,78.13308119999965,78.13984829999981,78.14573859999973,,79.63318879999997,79.6332051999998,79.6393436999997,84.63296859999991,84.62699589999966,76.72922869999957,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,001,2025-06-09_11h03.41.094,learn_probe,2024.2.4,144.3222195605109,1,2,"['1', '2']",2025-06-09 11h03.44.974831 -0400,
8,8,0,B_C,stimuli/banana.png,stimuli/face.png,space,0.5339687000000595,None,,,,,,,,,0,0,0,0,0,8,8,8,,,,,84.63296859999991,,,,,,,,,,,,,,,,84.62707209999962,84.63296859999991,85.1955509999998,84.9190179999996,85.1885543999997,85.1955509999998,86.43960969999989,86.43964349999987,86.44583009999997,89.08489859999963,89.07904589999998,89.08202039999969,89.08489859999963,90.57821829999966,90.57218419999981,90.57220089999964,90.57821829999966,95.57176769999978,95.5657756999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,001,2025-06-09_11h03.41.094,learn_probe,2024.2.4,144.3222195605109,1,2,"['1', '2']",2025-06-09 11h03.44.974831 -0400,
