thisN,thisTrialN,thisRepN,pair_name,stim1_img,stim2_img,key_resp.keys,key_resp.rt,key_resp.duration,target_img,prob_img,cue_text,is_match,end_probe_instr.keys,end_probe_instr.rt,end_probe_instr.duration,probe_resp_test.keys,blocks_loop.thisRepN,blocks_loop.thisTrialN,blocks_loop.thisN,blocks_loop.thisIndex,learn_images.thisRepN,learn_images.thisTrialN,learn_images.thisN,learn_images.thisIndex,probe_loop.thisRepN,probe_loop.thisTrialN,probe_loop.thisN,probe_loop.thisIndex,thisRow.t,notes,instructions.started,instructions_main.started,instr_end.started,instructions.stopped,instr_end.keys,instr_end.rt,instr_end.duration,instructions_learning.started,text.started,key_resp.started,instructions_learning.stopped,blocks_loop.key_resp.keys,blocks_loop.key_resp.rt,blocks_loop.key_resp.duration,fix_learning.started,fix_learn_cross.started,fix_learn_cross.stopped,fix_learning.stopped,image_learn_1.started,first_of_pair.started,image_learn_1.stopped,break_img_learn.started,break_random.started,break_random.stopped,break_img_learn.stopped,image_learn_2.started,second_of_pair.started,second_of_pair.stopped,image_learn_2.stopped,routine_5s_break.started,five_s_break.started,five_s_break.stopped,routine_5s_break.stopped,pair_stim_1,pair_stim_2,random_break_dur,first_of_pair.stopped,probe_instr.started,probe_instr_text.started,end_probe_instr.started,probe_instr.stopped,blocks_loop.end_probe_instr.keys,blocks_loop.end_probe_instr.rt,blocks_loop.end_probe_instr.duration,probe_cue.started,probe_cue_1.started,probe_cue.stopped,probe_imagination.started,imagination_woot.started,imagination_woot.stopped,probe_imagination.stopped,probe_test.started,prob_test_img.started,probe_test.stopped,probe_resp.started,probe_resp_test.started,probe_resp_test.stopped,probe_resp.stopped,probe_loop.probe_resp_test.keys,probe_break.started,text_2.started,text_2.stopped,probe_break.stopped,target_image,probe_image,response_good_bad,response_given,response_rt,prob_test_img.stopped,participant,session,date,expName,psychopyVersion,frameRate,sequence_good_key,sequence_bad_key,allowed_keys_list,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005580999999438063,0.011934899999687332,0.011934899999687332,1.3150726000003488,space,1.297761999998329,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-009,001,2025-06-09_12h54.52.532,learn_probe,2024.2.4,142.9443389035285,2,1,"['2', '1']",2025-06-09 12h54.58.772902 -0400,
0,0,0,B_C,stimuli/banana.png,stimuli/scissor.png,space,2.7056207999994513,None,,,,,,,,,0,0,0,0,0,0,0,1,,,,,4.039602900000318,,,,,,,,,1.3166775999998208,1.3237188000002789,1.3237188000002789,4.033613699999478,space,2.7056207999994513,None,4.036278100000345,4.039602900000318,4.602356100000179,4.326699699999153,4.59590770000068,4.602356100000179,5.840579899999284,5.840611899999203,5.845498399999997,7.7619312000006175,7.750178599999344,7.758464799999274,7.7619312000006175,9.256085400000302,9.250014200000805,9.250031400000807,9.256085400000302,14.249187400000665,14.243878100000074,stimuli/banana.png,stimuli/scissor.png,1.9197919485976327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-009,001,2025-06-09_12h54.52.532,learn_probe,2024.2.4,142.9443389035285,2,1,"['2', '1']",2025-06-09 12h54.58.772902 -0400,
1,1,0,C_D,stimuli/scissor.png,stimuli/zebra.png,space,2.7056207999994513,None,,,,,,,,,0,0,0,0,0,1,1,2,,,,,14.249187400000665,,,,,,,,,,,,,,,,14.243972599999324,14.249187400000665,14.547747000000527,14.53541480000058,14.545731899999737,14.547747000000527,16.036284499999965,16.036320200000773,16.041237499999625,17.10338690000026,17.083600600000864,17.09644769999977,17.10338690000026,,18.584655299999213,18.58467709999968,18.590481200000795,23.583755600000586,23.57793590000074,stimuli/scissor.png,stimuli/zebra.png,1.0537612405953174,16.041237499999625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-009,001,2025-06-09_12h54.52.532,learn_probe,2024.2.4,142.9443389035285,2,1,"['2', '1']",2025-06-09 12h54.58.772902 -0400,
2,2,0,A_B,stimuli/face.png,stimuli/banana.png,space,2.7056207999994513,None,,,,,,,,,0,0,0,0,0,2,2,0,,,,,23.583755600000586,,,,,,,,,,,,,,,,23.578022699999565,23.583755600000586,23.875262100000327,23.86950600000091,23.872852300000886,23.875262100000327,25.364247299999988,25.364279600000373,25.37589560000015,27.83493869999984,27.558182599999782,27.828685399999813,27.83493869999984,,29.064875399999437,29.06489370000054,29.070520400000532,,34.05898399999933,stimuli/face.png,stimuli/banana.png,2.1939521430080813,25.368859500000326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-009,001,2025-06-09_12h54.52.532,learn_probe,2024.2.4,142.9443389035285,2,1,"['2', '1']",2025-06-09 12h54.58.772902 -0400,
3,0,1,C_D,stimuli/scissor.png,stimuli/zebra.png,space,2.7056207999994513,None,,,,,,,,,0,0,0,0,1,0,3,2,,,,,34.06433599999946,,,,,,,,,,,,,,,,34.059086999999636,34.06433599999946,34.36257850000038,34.351071400000365,34.35834780000005,34.36257850000038,35.85074060000079,35.850774000000456,35.85668919999989,37.17537249999987,37.15651339999931,37.17246850000083,37.17537249999987,,38.66338250000081,38.66340200000013,38.66931880000084,,43.65776580000056,stimuli/scissor.png,stimuli/zebra.png,1.309222749032795,35.85668919999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-009,001,2025-06-09_12h54.52.532,learn_probe,2024.2.4,142.9443389035285,2,1,"['2', '1']",2025-06-09 12h54.58.772902 -0400,
4,1,1,A_B,stimuli/face.png,stimuli/banana.png,space,2.7056207999994513,None,,,,,,,,,0,0,0,0,1,1,4,0,,,,,43.66294519999974,,,,,,,,,,,,,,,,43.65789170000062,43.66294519999974,43.96122800000012,43.94915930000025,43.953232600000774,43.96122800000012,45.44959849999941,45.44963110000026,45.45477159999973,47.92717140000059,47.65718849999939,47.92406739999933,47.92717140000059,,49.158439000000726,49.15846590000001,49.163606199999776,54.15720610000062,54.1522144999999,stimuli/face.png,stimuli/banana.png,2.216768895476234,45.45477159999973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-009,001,2025-06-09_12h54.52.532,learn_probe,2024.2.4,142.9443389035285,2,1,"['2', '1']",2025-06-09 12h54.58.772902 -0400,
5,2,1,B_C,stimuli/banana.png,stimuli/scissor.png,space,2.7056207999994513,None,,,,,,,,,0,0,0,0,1,2,5,1,,,,,54.15720610000062,,,,,,,,,,,,,,,,54.152335500000845,54.15720610000062,54.719719099999566,54.443739899999855,54.711746299999504,54.719719099999566,55.95806260000063,55.958100199999535,55.96364109999922,57.63648160000048,57.61827000000085,57.628912399999535,57.63648160000048,,59.12406659999942,59.12408829999913,59.129947400000674,64.12377360000028,64.11849289999918,stimuli/banana.png,stimuli/scissor.png,1.6689611865749632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-009,001,2025-06-09_12h54.52.532,learn_probe,2024.2.4,142.9443389035285,2,1,"['2', '1']",2025-06-09 12h54.58.772902 -0400,
6,0,2,A_B,stimuli/face.png,stimuli/banana.png,space,2.7056207999994513,None,,,,,,,,,0,0,0,0,2,0,6,0,,,,,64.12377360000028,,,,,,,,,,,,,,,,64.11861390000013,64.12377360000028,64.42199149999942,64.41107860000011,64.41845909999938,64.42199149999942,65.9099556000001,65.9099839999999,65.91552050000064,68.9087528,68.63234770000054,68.90418049999971,68.9087528,,70.13261310000053,70.13263689999985,70.13825619999989,75.13186490000044,75.12600399999974,stimuli/face.png,stimuli/banana.png,2.731175121526395,65.91552050000064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-009,001,2025-06-09_12h54.52.532,learn_probe,2024.2.4,142.9443389035285,2,1,"['2', '1']",2025-06-09 12h54.58.772902 -0400,
7,1,2,B_C,stimuli/banana.png,stimuli/scissor.png,space,2.7056207999994513,None,,,,,,,,,0,0,0,0,2,1,7,1,,,,,75.13186490000044,,,,,,,,,,,,,,,,75.12607670000034,75.13186490000044,75.69462369999928,75.41805550000026,75.69079579999925,75.69462369999928,76.93889990000025,76.93892769999911,76.94473479999942,79.2222810000003,79.2101750999991,79.22051789999932,79.2222810000003,80.71588239999983,80.7100317000004,80.71004630000061,80.71588239999983,85.70995439999933,85.70464119999997,stimuli/banana.png,stimuli/scissor.png,2.275220425982541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-009,001,2025-06-09_12h54.52.532,learn_probe,2024.2.4,142.9443389035285,2,1,"['2', '1']",2025-06-09 12h54.58.772902 -0400,
8,2,2,C_D,stimuli/scissor.png,stimuli/zebra.png,space,2.7056207999994513,None,,,,,,,,,0,0,0,0,2,2,8,2,,,,,85.70995439999933,,,,,,,,,,,,,,,,85.7047435000004,85.70995439999933,86.00804749999952,85.99527859999944,86.00477499999943,86.00804749999952,87.49557450000066,87.4956015000007,87.50156910000078,89.68184330000076,89.66271910000069,89.67498370000067,89.68184330000076,,91.16968799999995,91.16970609999953,91.17557449999913,,96.16364520000025,stimuli/scissor.png,stimuli/zebra.png,2.1712282906311433,87.50156910000078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-009,001,2025-06-09_12h54.52.532,learn_probe,2024.2.4,142.9443389035285,2,1,"['2', '1']",2025-06-09 12h54.58.772902 -0400,
