thisN,thisTrialN,thisRepN,pair_name,stim1_img,stim2_img,key_resp.keys,key_resp.rt,key_resp.duration,target_img,probe_img,cue_text,is_match,blocks_loop.thisRepN,blocks_loop.thisTrialN,blocks_loop.thisN,blocks_loop.thisIndex,end_probe_instr.keys,end_probe_instr.rt,end_probe_instr.duration,learn_images.thisRepN,learn_images.thisTrialN,learn_images.thisN,learn_images.thisIndex,probe_loop.thisRepN,probe_loop.thisTrialN,probe_loop.thisN,probe_loop.thisIndex,probe_resp_test.keys,probe_resp_test.rt,probe_resp_test.duration,thisRow.t,notes,%_answer,instructions.started,instructions_main.started,instr_end.started,instructions.stopped,instr_end.keys,instr_end.rt,instr_end.duration,start_eeg.started,eeg_start_text.started,exit_eeg_text.started,start_eeg.stopped,exit_eeg_text.keys,exit_eeg_text.rt,exit_eeg_text.duration,instructions_learning.started,text.started,key_resp.started,instructions_learning.stopped,blocks_loop.key_resp.keys,blocks_loop.key_resp.rt,blocks_loop.key_resp.duration,image_load_2.started,Image_load_text.started,load_images_2.started,image_load_2.stopped,fix_learning.started,fix_learn_cross.started,fix_learning.stopped,image_learn_1.started,first_of_pair.started,image_learn_1.stopped,break_img_learn.started,break_random.started,break_random.stopped,break_img_learn.stopped,image_learn_2.started,second_of_pair.started,second_of_pair.stopped,image_learn_2.stopped,routine_5s_break.started,five_s_break.started,five_s_break.stopped,routine_5s_break.stopped,pair_stim_1,pair_stim_2,random_break_dur,first_of_pair.stopped,fix_learn_cross.stopped,probe_instr.started,probe_instr_text.started,end_probe_instr.started,probe_instr.stopped,blocks_loop.end_probe_instr.keys,blocks_loop.end_probe_instr.rt,blocks_loop.end_probe_instr.duration,image_loader.started,empty_text.started,image_load.started,image_loader.stopped,probe_cue.started,probe_cue_1.started,probe_cue.stopped,probe_imagination.started,imagination_woot.started,imagination_woot.stopped,probe_imagination.stopped,probe_test.started,prob_test_img.started,prob_test_img.stopped,probe_test.stopped,probe_resp.started,probe_resp_test.started,text_4.started,probe_resp.stopped,probe_loop.probe_resp_test.keys,probe_loop.probe_resp_test.rt,probe_loop.probe_resp_test.duration,probe_break.started,text_2.started,text_2.stopped,probe_break.stopped,target_image,participant,session,date,expName,psychopyVersion,frameRate,sequence_good_key,sequence_bad_key,allowed_keys_list,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.06840749992989004,0.08153349999338388,0.08153349999338388,0.683176500024274,space,0.5975560999941081,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h38.35.191,learn_probe,2024.2.4,115.00386390487458,1,2,"['1', '2']",2025-06-25 14h39.10.950271 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6832065999042243,0.6894898999016732,0.6894898999016732,1.2481507000047714,space,0.5569627999793738,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h38.35.191,learn_probe,2024.2.4,115.00386390487458,1,2,"['1', '2']",2025-06-25 14h39.10.950271 -0400,
0,0,0,B_C,stimuli/ciseau.png,stimuli/face.png,space,0.3775889999233186,None,,,,,0,0,0,0,,,,0,0,0,1,,,,,,,,1.651963499840349,,,,,,,,,,,,,,,,,1.2507423998322338,1.2603627999778837,1.2603627999778837,1.6399679000023752,space,0.3775889999233186,None,1.642683899961412,1.651963499840349,0.0027103000320494175,1.9506796000059694,1.9507003999315202,1.9606257998384535,2.2478212998248637,2.2488113997969776,2.2603575999382883,3.7481914998497814,3.7482782998122275,3.7559690999332815,5.564034599810839,5.556374799925834,5.557402099948376,5.564034599810839,7.055994499940425,7.04787139990367,7.047983199823648,7.055994499940425,12.052040899870917,12.041688499972224,stimuli/ciseau.png,stimuli/face.png,1.8118799155274243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h38.35.191,learn_probe,2024.2.4,115.00386390487458,1,2,"['1', '2']",2025-06-25 14h39.10.950271 -0400,
1,1,0,A_B,stimuli/zèbre.png,stimuli/ciseau.png,space,0.3775889999233186,None,,,,,0,0,0,0,,,,0,1,1,0,,,,,,,,12.052040899870917,,,,,,,,,,,,,,,,,,,,,,,,12.041779099963605,12.052040899870917,0.0035826999228447676,12.368643599795178,12.368661799933761,12.3772028000094,12.660537599818781,12.661583399865776,12.668725800001994,14.156369199976325,14.15648110001348,14.164693499915302,17.139532499946654,17.128626599907875,17.129616199992597,17.139532499946654,18.635150599991903,18.62687739985995,18.626978199929,18.635150599991903,23.63096269988455,23.62267109984532,stimuli/zèbre.png,stimuli/ciseau.png,2.978923549618675,14.164693499915302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h38.35.191,learn_probe,2024.2.4,115.00386390487458,1,2,"['1', '2']",2025-06-25 14h39.10.950271 -0400,
2,2,0,C_D,stimuli/face.png,stimuli/banane.png,space,0.3775889999233186,None,,,,,0,0,0,0,,,,0,2,2,2,,,,,,,,23.63096269988455,,,,,,,,,,,,,,,,,,,,,,,,23.622757099801674,23.63096269988455,0.0022839000448584557,23.935821499908343,23.935863399878144,23.94332169997506,24.231280699837953,24.23237709980458,24.23918079980649,25.722778499824926,25.722904599970207,25.73088619997725,26.83931059995666,26.830985199892893,26.83197749988176,26.83931059995666,28.335219099884853,28.327177899889648,28.327278799843043,28.335219099884853,33.32698269980028,33.31872979993932,stimuli/face.png,stimuli/banane.png,1.1172534644118564,25.73088619997725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h38.35.191,learn_probe,2024.2.4,115.00386390487458,1,2,"['1', '2']",2025-06-25 14h39.10.950271 -0400,
3,0,1,B_C,stimuli/ciseau.png,stimuli/face.png,space,0.3775889999233186,None,,,,,0,0,0,0,,,,1,0,3,1,,,,,,,,33.32698269980028,,,,,,,,,,,,,,,,,,,,,,,,33.318816100014374,33.32698269980028,0.003665800206363201,33.6391288000159,33.63914609979838,33.64723449992016,33.93099849997088,33.931949499994516,33.943505299976096,35.42777009983547,35.42788079986349,35.4348063999787,37.18907679989934,37.176513499813154,37.17763239983469,37.18907679989934,38.68110179994255,38.67284689983353,38.6729623998981,38.68110179994255,43.67649159999564,43.66831249999814,stimuli/ciseau.png,stimuli/face.png,1.759169883960565,35.4348063999787,33.943505299976096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h38.35.191,learn_probe,2024.2.4,115.00386390487458,1,2,"['1', '2']",2025-06-25 14h39.10.950271 -0400,
4,1,1,C_D,stimuli/face.png,stimuli/banane.png,space,0.3775889999233186,None,,,,,0,0,0,0,,,,1,1,4,2,,,,,,,,43.67649159999564,,,,,,,,,,,,,,,,,,,,,,,,43.66839749994688,43.67649159999564,-0.0001088001299649477,43.98937779990956,43.98939509992488,43.99731499981135,44.28039709990844,44.28141219983809,44.29096279991791,45.7806998998858,45.78090969985351,45.7892419998534,48.76352799986489,48.75550789991394,48.756516999797896,48.76352799986489,50.25578839983791,50.247190200025216,50.24734849995002,50.25578839983791,55.2509672997985,55.24354229983874,stimuli/face.png,stimuli/banane.png,2.980229050770766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h38.35.191,learn_probe,2024.2.4,115.00386390487458,1,2,"['1', '2']",2025-06-25 14h39.10.950271 -0400,
5,2,1,A_B,stimuli/zèbre.png,stimuli/ciseau.png,space,0.3775889999233186,None,,,,,0,0,0,0,,,,1,2,5,0,,,,,,,,55.2509672997985,,,,,,,,,,,,,,,,,,,,,,,,55.243629899807274,55.2509672997985,0.003963500028476119,55.56383379991166,55.563852599821985,55.585073799826205,55.86007809988223,55.86111129983328,55.86826769984327,57.35561109986156,57.355714899953455,57.363852499984205,60.35543939983472,60.34725869982503,60.34831289993599,60.35543939983472,61.846903199795634,61.83889369992539,61.83900829986669,61.846903199795634,66.8432213999331,66.83513709995896,stimuli/zèbre.png,stimuli/ciseau.png,2.9926073244006313,57.363852499984205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h38.35.191,learn_probe,2024.2.4,115.00386390487458,1,2,"['1', '2']",2025-06-25 14h39.10.950271 -0400,
6,0,2,A_B,stimuli/zèbre.png,stimuli/ciseau.png,space,0.3775889999233186,None,,,,,0,0,0,0,,,,2,0,6,0,,,,,,,,66.8432213999331,,,,,,,,,,,,,,,,,,,,,,,,66.8352235998027,66.8432213999331,0.003924299962818623,67.15573040000163,67.15574949979782,67.16392899979837,67.44715269980952,67.44812549999915,67.4556989998091,68.93913439987227,68.93925939989276,68.94742119987495,70.43466529995203,70.4263881999068,70.42745119985193,70.43466529995203,71.92633799999021,71.91794489999302,71.91805879981257,71.92633799999021,76.9218935999088,76.91384779987857,stimuli/zèbre.png,stimuli/ciseau.png,1.4928781407160954,68.94742119987495,67.4556989998091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h38.35.191,learn_probe,2024.2.4,115.00386390487458,1,2,"['1', '2']",2025-06-25 14h39.10.950271 -0400,
7,1,2,C_D,stimuli/face.png,stimuli/banane.png,space,0.3775889999233186,None,,,,,0,0,0,0,,,,2,1,7,2,,,,,,,,76.9218935999088,,,,,,,,,,,,,,,,,,,,,,,,76.91393659985624,76.9218935999088,0.003846700070425868,77.23509339988232,77.23512169998139,77.24270689999685,77.52653229981661,77.5275242999196,77.53468889999203,79.01812239992432,79.01829689997248,79.02614489989355,81.884206000017,81.87588419998065,81.87693789997138,81.884206000017,83.38054909999482,83.37201709998772,83.37211519991979,83.38054909999482,88.37627669982612,88.36850499990396,stimuli/face.png,stimuli/banane.png,2.8650640106096925,79.02614489989355,77.53468889999203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h38.35.191,learn_probe,2024.2.4,115.00386390487458,1,2,"['1', '2']",2025-06-25 14h39.10.950271 -0400,
