thisN,thisTrialN,thisRepN,pair_name,stim1_img,stim2_img,key_resp.keys,key_resp.rt,key_resp.duration,target_img,probe_img,cue_text,is_match,end_probe_instr.keys,end_probe_instr.rt,end_probe_instr.duration,probe_resp_test.keys,probe_resp_test.rt,probe_resp_test.duration,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,blocks_loop.thisRepN,blocks_loop.thisTrialN,blocks_loop.thisN,blocks_loop.thisIndex,learn_images.thisRepN,learn_images.thisTrialN,learn_images.thisN,learn_images.thisIndex,probe_loop.thisRepN,probe_loop.thisTrialN,probe_loop.thisN,probe_loop.thisIndex,thisRow.t,notes,%_answer,instructions.started,instructions_main.started,instr_end.started,instructions.stopped,instr_end.keys,instr_end.rt,instr_end.duration,start_eeg.started,eeg_start_text.started,exit_eeg_text.started,start_eeg.stopped,exit_eeg_text.keys,exit_eeg_text.rt,exit_eeg_text.duration,instructions_learning.started,text.started,key_resp.started,instructions_learning.stopped,blocks_loop.key_resp.keys,blocks_loop.key_resp.rt,blocks_loop.key_resp.duration,image_load_2.started,Image_load_text.started,load_images_2.started,image_load_2.stopped,fix_learning.started,fix_learn_cross.started,fix_learn_cross.stopped,fix_learning.stopped,image_learn_1.started,first_of_pair.started,first_of_pair.stopped,image_learn_1.stopped,break_img_learn.started,break_random.started,break_random.stopped,break_img_learn.stopped,image_learn_2.started,second_of_pair.started,second_of_pair.stopped,image_learn_2.stopped,routine_5s_break.started,five_s_break.started,five_s_break.stopped,routine_5s_break.stopped,pair_stim_1,pair_stim_2,random_break_dur,probe_instr.started,probe_instr_text.started,end_probe_instr.started,probe_instr.stopped,blocks_loop.end_probe_instr.keys,blocks_loop.end_probe_instr.rt,blocks_loop.end_probe_instr.duration,image_loader.started,empty_text.started,image_load.started,image_loader.stopped,probe_cue.started,probe_cue_1.started,probe_cue.stopped,probe_imagination.started,imagination_woot.started,imagination_woot.stopped,probe_imagination.stopped,probe_test.started,prob_test_img.started,prob_test_img.stopped,probe_test.stopped,probe_resp.started,probe_resp_test.started,text_4.started,probe_resp.stopped,probe_loop.probe_resp_test.keys,probe_loop.probe_resp_test.rt,probe_loop.probe_resp_test.duration,probe_break.started,text_2.started,text_2.stopped,probe_break.stopped,target_image,probe_image,response_good_bad,response_given,response_rt,good_answer_counter,probe_cue_1.stopped,end_of_block.started,text_3.started,key_resp_2.started,end_of_block.stopped,blocks_loop.key_resp_2.keys,blocks_loop.key_resp_2.rt,blocks_loop.key_resp_2.duration,rest_instr.started,instr_rest_state.started,key_resp_3.started,rest_instr.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,rest_state.started,text_5.started,text_5.stopped,rest_state.stopped,end_exp.started,text_end.started,end_exp_1.started,end_exp.stopped,end_exp_1.keys,end_exp_1.rt,end_exp_1.duration,participant,session,date,expName,psychopyVersion,frameRate,sequence_good_key,sequence_bad_key,allowed_keys_list,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.05987360002472997,0.07069809990935028,0.07069809990935028,0.6848255000077188,space,0.6066275001503527,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6848524999804795,0.6952833998948336,0.6952833998948336,1.004177700029686,space,0.3025714000687003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
0,0,0,B_C,stimuli/ciseau.png,stimuli/face.png,space,0.2697588999290019,None,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,,,,,1.3036962999030948,,,,,,,,,,,,,,,,,1.0068317998666316,1.0161045999266207,1.0161045999266207,1.2916455999948084,space,0.2697588999290019,None,1.2943189998622984,1.3036962999030948,0.002652199938893318,1.5998163998592645,1.5998366000130773,1.608159099938348,1.903856699820608,1.8913339998107404,1.8923014998435974,1.903856699820608,3.3992188998963684,3.3911595998797566,3.3912492999807,3.3992188998963684,5.916372200008482,5.90816089999862,5.909110799897462,5.916372200008482,7.412393699865788,7.4039559999946505,7.4040492998901755,7.412393699865788,12.407826100010425,12.399591599823907,stimuli/ciseau.png,stimuli/face.png,2.5222051504861853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
1,1,0,C_D,stimuli/face.png,stimuli/banane.png,space,0.2697588999290019,None,,,,,,,,,,,,,,0,0,0,0,0,1,1,2,,,,,12.407826100010425,,,,,,,,,,,,,,,,,,,,,,,,12.399679000023752,12.407826100010425,-0.00037550018168985844,12.720819799927995,12.720863899914548,12.728436299832538,,13.011666900012642,13.012642199872062,13.020570599939674,14.51603850000538,14.508388599846512,14.508484399877489,14.51603850000538,16.478581300005317,16.47029499989003,16.47130259987898,16.478581300005317,17.970465899910778,17.96222719992511,17.962345599895343,17.970465899910778,22.965843999991193,22.95787419984117,stimuli/face.png,stimuli/banane.png,1.9669464651159831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
2,2,0,A_B,stimuli/zèbre.png,stimuli/ciseau.png,space,0.2697588999290019,None,,,,,,,,,,,,,,0,0,0,0,0,2,2,0,,,,,22.965843999991193,,,,,,,,,,,,,,,,,,,,,,,,22.957962199812755,22.965843999991193,0.004395700059831142,23.282537499908358,23.28255599993281,23.290975800016895,,23.574342799838632,23.575320599833503,23.5826844999101,25.078820699825883,25.07000289997086,25.070197599940002,25.078820699825883,27.045297799864784,27.036852899938822,27.037856600014493,27.045297799864784,28.540630199946463,28.532858799910173,28.5330550998915,28.540630199946463,33.53243070002645,33.52503789984621,stimuli/zèbre.png,stimuli/ciseau.png,1.972236844970177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
3,0,1,A_B,stimuli/zèbre.png,stimuli/ciseau.png,space,0.2697588999290019,None,,,,,,,,,,,,,,0,0,0,0,1,0,3,0,,,,,33.53243070002645,,,,,,,,,,,,,,,,,,,,,,,,33.52513299998827,33.53243070002645,0.0038501000963151455,33.85011859983206,33.850136999972165,33.857593399938196,,34.14083980000578,34.14178549987264,34.14925339980982,35.64121889998205,35.63280859985389,35.63293019984849,35.64121889998205,37.56593639985658,37.557883200002834,37.55886779981665,37.56593639985658,39.057453899877146,39.04935699980706,39.04946090001613,39.057453899877146,44.05348140001297,44.044789699837565,stimuli/zèbre.png,stimuli/ciseau.png,1.9311389638819345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
4,1,1,B_C,stimuli/ciseau.png,stimuli/face.png,space,0.2697588999290019,None,,,,,,,,,,,,,,0,0,0,0,1,1,4,1,,,,,44.05348140001297,,,,,,,,,,,,,,,,,,,,,,,,44.04487709980458,44.05348140001297,0.003701400011777878,44.370013299863786,44.37002979987301,44.378643499920145,,44.66169509990141,44.663296999875456,44.66992319980636,46.1616165000014,46.1538248998113,46.1539229999762,46.1616165000014,47.59108849987388,47.58251590002328,47.58350419998169,47.59108849987388,49.08222320000641,49.07431970001198,49.07444050000049,49.08222320000641,54.07824259996414,54.07064859988168,stimuli/ciseau.png,stimuli/face.png,1.4363396668810693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
5,2,1,C_D,stimuli/face.png,stimuli/banane.png,space,0.2697588999290019,None,,,,,,,,,,,,,,0,0,0,0,1,2,5,2,,,,,54.07824259996414,,,,,,,,,,,,,,,,,,,,,,,,54.07073839986697,54.07824259996414,0.00428640004247427,54.39433739986271,54.39435359998606,54.40394590003416,,54.68279889994301,54.68382529984228,54.69101929990575,56.18628179980442,56.17844189982861,56.178536699851975,56.18628179980442,58.64890669984743,58.64080539997667,58.64184379996732,58.64890669984743,60.145107300020754,60.13659969996661,60.136716599809006,60.145107300020754,65.1407484000083,65.13254849985242,stimuli/face.png,stimuli/banane.png,2.471775463985322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
6,0,2,C_D,stimuli/face.png,stimuli/banane.png,space,0.2697588999290019,None,,,,,,,,,,,,,,0,0,0,0,2,0,6,2,,,,,65.1407484000083,,,,,,,,,,,,,,,,,,,,,,,,65.13264049985446,65.1407484000083,-0.00012820004485547543,65.4487783999648,65.44879789999686,65.45726259984076,65.74872829997912,65.74089419981465,65.74195259995759,65.74872829997912,67.24462959985249,67.2367057998199,67.23682560003363,67.24462959985249,69.33253569994122,69.32435259991325,69.32545449980535,69.33253569994122,70.82411980000325,70.81570309982635,70.81581950001419,70.82411980000325,75.81988899991848,75.81154539994895,stimuli/face.png,stimuli/banane.png,2.094538713573096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
7,1,2,A_B,stimuli/zèbre.png,stimuli/ciseau.png,space,0.2697588999290019,None,,,,,,,,,,,,,,0,0,0,0,2,1,7,0,,,,,75.81988899991848,,,,,,,,,,,,,,,,,,,,,,,,75.81163719994947,75.81988899991848,0.0035299998708069324,76.13713639997877,76.13717759982683,76.14479759987444,,76.42798159993254,76.42906209989451,76.4362981999293,77.93200709996745,77.92391539993696,77.92400230001658,77.93200709996745,79.49441229994409,79.4865311998874,79.48753199982457,79.49441229994409,80.98609419981949,80.97807019995525,80.97817449993454,80.98609419981949,85.98238059994765,85.97409999999218,stimuli/zèbre.png,stimuli/ciseau.png,1.5715134010963987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
