pair_name,stim1_img,stim2_img,pair_name_raw,stim1_img_raw,stim2_img_raw,thisN_raw,thisRepN_raw,thisTrialN_raw
A_B,stimuli/zèbre.png,stimuli/ciseau.png,B_C,stimuli/ciseau.png,stimuli/face.png,0,0,0
B_C,stimuli/ciseau.png,stimuli/face.png,C_D,stimuli/face.png,stimuli/banane.png,1,0,1
C_D,stimuli/face.png,stimuli/banane.png,A_B,stimuli/zèbre.png,stimuli/ciseau.png,2,0,2

extraInfo
participant,sub-098
session,001
date,2025-06-25_14h43.35.278
expName,learn_probe
psychopyVersion,2024.2.4
frameRate,240.02630686000353
sequence_good_key,1
sequence_bad_key,2
allowed_keys_list,"['1', '2']"
expStart,2025-06-25 14h43.55.799519 -0400
﻿pair_name,stim1_img,stim2_img,pair_name_raw,stim1_img_raw,stim2_img_raw,thisN_raw,thisRepN_raw,thisTrialN_raw
A_B,stimuli/zèbre.png,stimuli/ciseau.png,A_B,stimuli/zèbre.png,stimuli/ciseau.png,0,0,0
B_C,stimuli/ciseau.png,stimuli/face.png,C_D,stimuli/face.png,stimuli/banane.png,1,0,1
C_D,stimuli/face.png,stimuli/banane.png,B_C,stimuli/ciseau.png,stimuli/face.png,2,0,2

extraInfo
participant,sub-098
session,001
date,2025-06-25_14h43.35.278
expName,learn_probe
psychopyVersion,2024.2.4
frameRate,240.02630686000353
sequence_good_key,1
sequence_bad_key,2
allowed_keys_list,"['1', '2']"
expStart,2025-06-25 14h43.55.799519 -0400
﻿pair_name,stim1_img,stim2_img,pair_name_raw,stim1_img_raw,stim2_img_raw,thisN_raw,thisRepN_raw,thisTrialN_raw
A_B,stimuli/zèbre.png,stimuli/ciseau.png,C_D,stimuli/face.png,stimuli/banane.png,0,0,0
B_C,stimuli/ciseau.png,stimuli/face.png,B_C,stimuli/ciseau.png,stimuli/face.png,1,0,1
C_D,stimuli/face.png,stimuli/banane.png,A_B,stimuli/zèbre.png,stimuli/ciseau.png,2,0,2

extraInfo
participant,sub-098
session,001
date,2025-06-25_14h43.35.278
expName,learn_probe
psychopyVersion,2024.2.4
frameRate,240.02630686000353
sequence_good_key,1
sequence_bad_key,2
allowed_keys_list,"['1', '2']"
expStart,2025-06-25 14h43.55.799519 -0400
