image_file,presented_word,is_match,blank_duration,iti_duration
stimuli/face.png,face,match,1.9,1.37
stimuli/zebra.png,zebra,match,1.79,1.71
stimuli/banana.png,zebra,mismatch,1.92,2.89
stimuli/scissor.png,banana,mismatch,1.3,1.58
stimuli/zebra.png,zebra,match,1.62,2.81
stimuli/zebra.png,face,mismatch,1.34,1.83
stimuli/banana.png,banana,match,1.15,2.74
stimuli/scissor.png,scissor,match,1.95,1.54
stimuli/zebra.png,face,mismatch,1.13,1.32
stimuli/scissor.png,zebra,mismatch,1.21,1.15
stimuli/scissor.png,scissor,match,1.19,1.25
stimuli/zebra.png,scissor,mismatch,1.38,2.93
stimuli/banana.png,banana,match,1.05,2.43
stimuli/banana.png,zebra,mismatch,1.42,2.71
stimuli/face.png,face,match,1.64,2.99
stimuli/banana.png,banana,match,1.87,2.9
stimuli/banana.png,zebra,mismatch,1.02,2.76
stimuli/zebra.png,zebra,match,1.53,2.69
stimuli/zebra.png,scissor,mismatch,1.58,1.45
stimuli/face.png,zebra,mismatch,1.75,1.27
stimuli/face.png,face,match,1.37,1.14
stimuli/banana.png,banana,match,1.9,2.21
stimuli/zebra.png,face,mismatch,1.77,1.86
stimuli/scissor.png,zebra,mismatch,1.89,1.36
stimuli/zebra.png,zebra,match,1.65,2.15
stimuli/scissor.png,face,mismatch,1.05,2.4
stimuli/face.png,face,match,1.42,1.46
stimuli/scissor.png,scissor,match,1.84,2.08
stimuli/face.png,scissor,mismatch,1.63,2.31
stimuli/banana.png,banana,match,1.77,1.95
stimuli/scissor.png,banana,mismatch,1.13,2.45
stimuli/zebra.png,zebra,match,1.85,1.51
stimuli/banana.png,face,mismatch,1.59,1.57
stimuli/banana.png,banana,match,1.16,2.2
stimuli/zebra.png,zebra,match,1.14,1.79
stimuli/zebra.png,banana,mismatch,1.14,2.79
stimuli/banana.png,banana,match,1.37,2.19
stimuli/scissor.png,scissor,match,1.08,1.72
stimuli/face.png,zebra,mismatch,1.72,1.39
stimuli/face.png,face,match,1.36,2.59
stimuli/scissor.png,scissor,match,1.29,1.21
stimuli/banana.png,scissor,mismatch,1.48,1.67
stimuli/banana.png,zebra,mismatch,1.71,2.23
stimuli/zebra.png,zebra,match,1.32,2.07
