image_file,presented_word,is_match,blank_duration,iti_duration,corrAns
stimuli/zebra.png,zebra,match,1.06,1.71,2
stimuli/scissor.png,banana,mismatch,1.7,2.07,1
stimuli/face.png,face,match,1.38,1.98,2
stimuli/banana.png,banana,match,1.36,1.54,2
stimuli/face.png,scissor,mismatch,1.74,1.85,1
stimuli/zebra.png,scissor,mismatch,1.8,1.12,1
stimuli/face.png,face,match,1.42,1.18,2
stimuli/zebra.png,zebra,match,1.01,1.35,2
stimuli/scissor.png,banana,mismatch,1.51,1.88,1
stimuli/zebra.png,zebra,match,1.01,2.91,2
stimuli/zebra.png,scissor,mismatch,1.4,1.65,1
stimuli/banana.png,scissor,mismatch,1.97,1.37,1
stimuli/face.png,face,match,1.27,1.42,2
stimuli/face.png,scissor,mismatch,1.17,2.89,1
stimuli/scissor.png,zebra,mismatch,1.01,1.57,1
stimuli/zebra.png,zebra,match,1.03,2.99,2
stimuli/face.png,scissor,mismatch,1.4,2.97,1
stimuli/banana.png,banana,match,1.82,2.99,2
stimuli/zebra.png,face,mismatch,1.52,1.39,1
stimuli/banana.png,banana,match,1.01,2.37,2
stimuli/banana.png,banana,match,1.02,1.96,2
stimuli/face.png,zebra,mismatch,1.81,1.99,1
stimuli/banana.png,face,mismatch,1.57,1.4,1
stimuli/zebra.png,zebra,match,1.46,2.12,2
stimuli/face.png,face,match,1.02,1.85,2
stimuli/scissor.png,banana,mismatch,1.97,2.4,1
stimuli/face.png,face,match,1.1,1.58,2
stimuli/scissor.png,scissor,match,1.36,2.32,2
stimuli/face.png,zebra,mismatch,1.61,2.93,1
stimuli/scissor.png,scissor,match,1.1,2.76,2
stimuli/face.png,scissor,mismatch,1.09,2.11,1
stimuli/zebra.png,banana,mismatch,1.3,2.6,1
stimuli/zebra.png,zebra,match,1.33,2.57,2
stimuli/banana.png,scissor,mismatch,1.25,2.23,1
stimuli/scissor.png,scissor,match,1.64,1.85,2
stimuli/face.png,banana,mismatch,1.24,2.22,1
stimuli/banana.png,scissor,mismatch,1.54,2.34,1
stimuli/scissor.png,scissor,match,1.29,2.6,2
stimuli/scissor.png,face,mismatch,1.45,2.63,1
stimuli/zebra.png,face,mismatch,1.76,2.77,1
stimuli/scissor.png,scissor,match,1.02,2.68,2
stimuli/face.png,face,match,1.24,1.22,2
stimuli/banana.png,face,mismatch,1.96,1.08,1
stimuli/zebra.png,banana,mismatch,1.23,2.56,1
stimuli/zebra.png,zebra,match,1.39,1.35,2
stimuli/face.png,banana,mismatch,1.67,2.18,1
stimuli/face.png,face,match,1.64,1.19,2
stimuli/scissor.png,banana,mismatch,1.14,2.49,1
stimuli/scissor.png,banana,mismatch,1.53,2.33,1
stimuli/face.png,face,match,1.58,1.35,2
stimuli/scissor.png,scissor,match,1.21,1.09,2
stimuli/zebra.png,banana,mismatch,1.37,2.48,1
stimuli/scissor.png,zebra,mismatch,1.47,2.5,1
stimuli/scissor.png,scissor,match,1.94,1.74,2
stimuli/banana.png,zebra,mismatch,1.92,2.93,1
stimuli/scissor.png,face,mismatch,1.59,2.07,1
stimuli/zebra.png,zebra,match,1.23,2.65,2
stimuli/zebra.png,banana,mismatch,1.6,1.98,1
stimuli/banana.png,banana,match,1.87,2.14,2
stimuli/scissor.png,zebra,mismatch,1.19,2.76,1
stimuli/zebra.png,zebra,match,1.54,2.88,2
stimuli/banana.png,zebra,mismatch,1.01,1.4,1
stimuli/face.png,face,match,1.2,2.77,2
stimuli/zebra.png,face,mismatch,1.19,2.42,1
stimuli/scissor.png,scissor,match,1.95,1.37,2
stimuli/face.png,face,match,1.42,1.8,2
stimuli/face.png,scissor,mismatch,1.21,1.78,1
stimuli/zebra.png,zebra,match,1.72,1.21,2
stimuli/zebra.png,scissor,mismatch,1.94,2.95,1
stimuli/face.png,zebra,mismatch,1.05,2.95,1
stimuli/scissor.png,scissor,match,1.03,2.48,2
stimuli/zebra.png,banana,mismatch,1.19,1.44,1
stimuli/zebra.png,banana,mismatch,1.11,1.7,1
stimuli/scissor.png,scissor,match,1.51,2.69,2
stimuli/face.png,face,match,1.2,1.02,2
stimuli/banana.png,zebra,mismatch,1.13,1.6,1
stimuli/zebra.png,face,mismatch,1.98,2.57,1
stimuli/zebra.png,zebra,match,1.1,1.1,2
stimuli/banana.png,banana,match,1.93,1.05,2
stimuli/face.png,banana,mismatch,1.23,2.93,1
stimuli/scissor.png,scissor,match,1.97,2.91,2
stimuli/scissor.png,banana,mismatch,1.94,2.16,1
stimuli/face.png,face,match,1.9,1.16,2
stimuli/scissor.png,scissor,match,1.58,1.4,2
stimuli/zebra.png,face,mismatch,1.28,1.92,1
stimuli/banana.png,banana,match,1.04,1.3,2
stimuli/face.png,face,match,1.61,1.3,2
stimuli/face.png,scissor,mismatch,1.58,1.9,1
stimuli/zebra.png,banana,mismatch,1.45,2.21,1
stimuli/scissor.png,scissor,match,1.45,1.13,2
stimuli/zebra.png,scissor,mismatch,1.11,1.24,1
stimuli/face.png,zebra,mismatch,1.4,1.75,1
stimuli/banana.png,banana,match,1.94,2.43,2
stimuli/zebra.png,face,mismatch,1.35,2.67,1
stimuli/face.png,face,match,1.73,1.31,2
stimuli/banana.png,banana,match,1.23,1.66,2
stimuli/banana.png,scissor,mismatch,1.81,1.8,1
stimuli/zebra.png,zebra,match,1.73,2.25,2
stimuli/scissor.png,scissor,match,1.08,2.41,2
stimuli/zebra.png,face,mismatch,1.4,1.42,1
stimuli/zebra.png,banana,mismatch,1.02,1.21,1
stimuli/scissor.png,scissor,match,1.71,2.88,2
stimuli/banana.png,zebra,mismatch,1.83,1.57,1
stimuli/scissor.png,zebra,mismatch,1.48,2.76,1
stimuli/zebra.png,zebra,match,1.88,1.99,2
stimuli/scissor.png,face,mismatch,1.91,2.92,1
stimuli/scissor.png,scissor,match,1.92,2.11,2
stimuli/face.png,face,match,1.58,2.79,2
stimuli/face.png,banana,mismatch,1.8,1.66,1
stimuli/banana.png,banana,match,1.6,2.09,2
stimuli/banana.png,zebra,mismatch,1.17,1.29,1
stimuli/face.png,face,match,1.67,2.45,2
stimuli/banana.png,zebra,mismatch,1.78,1.91,1
stimuli/banana.png,banana,match,1.87,2.35,2
stimuli/face.png,face,match,1.59,2.55,2
stimuli/banana.png,zebra,mismatch,1.31,2.7,1
stimuli/face.png,face,match,1.38,2.49,2
stimuli/zebra.png,face,mismatch,1.25,2.7,1
stimuli/face.png,face,match,1.91,1.22,2
stimuli/zebra.png,zebra,match,1.78,1.44,2
stimuli/zebra.png,banana,mismatch,1.63,1.68,1
stimuli/face.png,face,match,1.02,1.17,2
stimuli/zebra.png,scissor,mismatch,1.61,2.14,1
stimuli/scissor.png,zebra,mismatch,1.37,2.55,1
stimuli/zebra.png,zebra,match,1.3,2.45,2
stimuli/face.png,face,match,1.51,2.85,2
stimuli/face.png,scissor,mismatch,1.45,2.41,1
stimuli/banana.png,zebra,mismatch,1.58,2.69,1
stimuli/zebra.png,zebra,match,1.63,1.17,2
stimuli/face.png,banana,mismatch,1.09,2.26,1
stimuli/banana.png,scissor,mismatch,1.29,1.96,1
stimuli/scissor.png,scissor,match,1.65,2.6,2
stimuli/zebra.png,face,mismatch,1.06,1.55,1
stimuli/scissor.png,scissor,match,1.52,2.79,2
stimuli/scissor.png,banana,mismatch,1.07,1.83,1
stimuli/face.png,face,match,1.01,2.01,2
stimuli/scissor.png,banana,mismatch,1.15,2.29,1
stimuli/banana.png,zebra,mismatch,1.46,1.25,1
stimuli/zebra.png,zebra,match,1.64,2.08,2
stimuli/banana.png,face,mismatch,1.46,2.26,1
stimuli/scissor.png,scissor,match,1.71,1.72,2
stimuli/banana.png,banana,match,1.47,2.73,2
stimuli/face.png,scissor,mismatch,1.03,2.56,1
stimuli/banana.png,banana,match,1.16,1.19,2
stimuli/face.png,scissor,mismatch,1.7,1.13,1
stimuli/scissor.png,zebra,mismatch,1.63,1.95,1
stimuli/banana.png,banana,match,1.32,1.77,2
stimuli/zebra.png,banana,mismatch,1.73,1.42,1
stimuli/banana.png,banana,match,1.22,1.41,2
stimuli/face.png,scissor,mismatch,1.84,1.52,1
stimuli/banana.png,scissor,mismatch,1.21,1.03,1
stimuli/scissor.png,scissor,match,1.02,1.87,2
stimuli/zebra.png,zebra,match,1.72,2.54,2
stimuli/scissor.png,banana,mismatch,1.01,2.75,1
stimuli/banana.png,banana,match,1.02,2.1,2
stimuli/face.png,face,match,1.08,2.08,2
stimuli/banana.png,zebra,mismatch,1.04,1.81,1
stimuli/zebra.png,zebra,match,1.03,2.55,2
stimuli/scissor.png,scissor,match,1.56,2.41,2
stimuli/zebra.png,scissor,mismatch,1.44,1.37,1
stimuli/banana.png,banana,match,1.75,1.7,2
stimuli/face.png,banana,mismatch,1.71,2.9,1
stimuli/banana.png,banana,match,1.27,1.29,2
stimuli/zebra.png,scissor,mismatch,1.32,1.49,1
stimuli/scissor.png,scissor,match,1.31,1.45,2
stimuli/banana.png,banana,match,1.19,2.56,2
stimuli/banana.png,zebra,mismatch,1.96,2.11,1
stimuli/zebra.png,zebra,match,1.59,2.95,2
stimuli/banana.png,scissor,mismatch,1.5,1.12,1
stimuli/zebra.png,face,mismatch,1.61,1.44,1
stimuli/scissor.png,scissor,match,1.31,1.91,2
stimuli/banana.png,banana,match,1.53,1.14,2
stimuli/face.png,banana,mismatch,1.89,1.34,1
stimuli/scissor.png,zebra,mismatch,1.26,2.59,1
stimuli/face.png,face,match,1.05,2.11,2
stimuli/banana.png,zebra,mismatch,1.53,2.87,1
stimuli/banana.png,zebra,mismatch,1.79,2.84,1
stimuli/face.png,face,match,1.88,1.11,2
stimuli/scissor.png,banana,mismatch,1.09,1.82,1
stimuli/face.png,zebra,mismatch,1.43,1.43,1
stimuli/banana.png,banana,match,1.69,1.85,2
stimuli/banana.png,banana,match,1.13,1.42,2
stimuli/scissor.png,face,mismatch,1.52,2.54,1
stimuli/scissor.png,scissor,match,1.98,1.34,2
